movie_name,movie_class,movie_region,movie_time,movie_sorce,movie_people
哪吒闹海,冒险 动画 奇幻,中国大陆,1979,9.2,255544
射雕英雄传之东成西就,喜剧 奇幻 武侠 古装,中国香港,1993,8.7,629202
喜宴,剧情 喜剧 爱情 同性 家庭,中国台湾美国,1993,9.0,356720
头号玩家,动作 科幻 冒险,美国,2018,8.7,1352019
模仿游戏,剧情 传记 战争 同性,英国美国,2014,8.8,638347
阳光姐妹淘,剧情 喜剧,韩国,2011,8.8,585668
我是山姆,剧情 家庭,美国,2001,9.0,333741
茶馆,剧情 历史,中国大陆,1982,9.6,140006
九品芝麻官,剧情 喜剧 古装,中国香港中国大陆,1994,8.7,666509
花样年华,剧情 爱情,中国香港,2000,8.7,598460
恐怖直播,剧情 犯罪 悬疑,韩国,2013,8.7,644086
血战钢锯岭,剧情 传记 历史 战争,澳大利亚美国,2016,8.7,775080
色，戒,剧情 爱情 情色,中国台湾中国大陆美国中国香港,2007,8.7,792989
七武士,动作 冒险 剧情,日本,1954,9.3,195135
头脑特工队,喜剧 动画 冒险,美国,2015,8.8,602235
惊魂记,悬疑 惊悚 恐怖,美国,1960,9.0,288071
黑客帝国3：矩阵革命,动作 科幻,美国,2003,8.8,441744
你的名字。,剧情 爱情 动画,日本,2016,8.5,1389799
电锯惊魂,悬疑 惊悚 恐怖,美国,2004,8.8,524752
三块广告牌,剧情 犯罪,英国美国,2017,8.7,811436
达拉斯买家俱乐部,剧情 传记 同性,美国,2013,8.8,447162
疯狂原始人,喜剧 动画 冒险,美国,2013,8.7,828957
心迷宫,剧情 犯罪 悬疑,中国大陆,2014,8.7,513259
谍影重重3,动作 悬疑 惊悚,美国德国法国英国,2007,8.8,412896
上帝之城,犯罪 剧情,巴西法国,2002,9.0,298535
英雄本色,剧情 动作 犯罪,中国香港,1986,8.6,532741
卢旺达饭店,剧情 传记 历史 战争,英国南非意大利美国,2004,8.9,325758
纵横四海,剧情 喜剧 动作 犯罪,中国香港,1991,8.8,419751
风之谷,动画 奇幻 冒险,日本,1984,8.9,350484
海街日记,剧情 家庭,日本,2015,8.8,441860
爱在午夜降临前,剧情 爱情,美国希腊,2013,8.9,395748
绿里奇迹,犯罪 剧情 奇幻 悬疑,美国,1999,8.9,324531
记忆碎片,犯罪 剧情 悬疑 惊悚,美国,2000,8.7,593485
岁月神偷,剧情 家庭,中国香港中国大陆,2010,8.7,569659
忠犬八公物语,剧情,日本,1987,9.2,193373
疯狂的石头,喜剧 犯罪,中国大陆中国香港,2006,8.6,809937
荒蛮故事,剧情 喜剧 犯罪,阿根廷西班牙,2014,8.8,438164
雨中曲,喜剧 歌舞 爱情,美国,1952,9.1,221446
小偷家族,剧情 犯罪 家庭,日本,2018,8.7,804234
2001太空漫游,科幻 惊悚 冒险,英国美国,1968,8.9,321939
爆裂鼓手,剧情 音乐,美国,2014,8.7,580440
小丑,剧情 犯罪 惊悚,美国加拿大,2019,8.7,992182
背靠背，脸对脸,剧情,中国大陆中国香港,1994,9.5,129205
无敌破坏王,喜剧 动画 奇幻 冒险,美国,2012,8.7,529905
无间道2,剧情 犯罪 惊悚,中国香港,2003,8.7,470191
贫民窟的百万富翁,剧情 爱情,英国,2008,8.6,737654
冰川时代,喜剧 动画 冒险,美国,2002,8.6,605078
东邪西毒,剧情 动作 爱情 武侠 古装,中国香港中国台湾,1994,8.6,570626
心灵奇旅,动画 奇幻 音乐,美国,2020,8.7,963775
恐怖游轮,剧情 悬疑 惊悚,英国澳大利亚,2009,8.5,848864
牯岭街少年杀人事件,剧情 犯罪,中国台湾,1991,8.9,294473
遗愿清单,冒险 喜剧 剧情,美国,2007,8.7,453390
魔女宅急便,动画 奇幻 冒险,日本,1989,8.7,453118
真爱至上,喜剧 剧情 爱情,英国美国法国,2003,8.6,725197
你看起来好像很好吃,剧情 动画 儿童,日本,2010,8.9,329111
